公司状态,公司规模,链接,职位,薪资,地址,经验,学历,公司名,公司类型,联系人,职务,时间
未融资,20-99人,https://www.zhipin.com/job_detail/66d0f3460a6158671HV63t60FFU~.html,Python 架构师,35k-50k,北京 朝阳区 酒仙桥,5-10年,本科,智能优学,互联网,杨焱,招聘者,发布于昨天
B轮,100-499人,https://www.zhipin.com/job_detail/dba9e14cc539d7ba1XJ83tm7GFQ~.html,中高级Python工程师,15k-30k,北京 海淀区 五道口,3-5年,本科,学堂在线,互联网,王勇,招聘者,发布于09月28日
C轮,100-499人,https://www.zhipin.com/job_detail/6c64bfcb35daa8181nx-2N-9ElI~.html,Python研发工程师,20k-40k,北京 朝阳区 朝阳路,3-5年,本科,LBE TECH,移动互联网,韩秦,HRBP,发布于11月29日
未融资,1000-9999人,https://www.zhipin.com/job_detail/9fc1ff4bf123da811XV82Nu7FFE~.html,高级软件工程师 (Python),20k-40k,北京 顺义区 后沙峪,5-10年,本科,华卓餐饮,餐饮,林新,招聘专员,发布于07月30日
B轮,20-99人,https://www.zhipin.com/job_detail/eaedf79e58e725001X1z09S4Els~.html,python工程师,8k-12k,北京 丰台区 花乡,1-3年,本科,中金标准数据,数据服务,李雪娜,招聘者,发布于11月23日
不需要融资,10000人以上,https://www.zhipin.com/job_detail/f29e581847fa2b971Xd52dW4E1Y~.html,Python开发高级工程师,25k-50k,北京 大兴区 ,3-5年,学历不限,京东数字科技,互联网,何军,招聘者,发布于07月18日
已上市,1000-9999人,https://www.zhipin.com/job_detail/abfefd33e5014df41XZ-3ti5Els~.html,python开发工程师,25k-50k,北京 朝阳区 大屯,1-3年,本科,京东云,计算机软件,陈希,招聘者,发布于11月27日
C轮,500-999人,https://www.zhipin.com/job_detail/b35a8bcc50a8c0bd1X1429S4Flc~.html,python实习生,2k-4k,北京 海淀区 四季青,应届生,本科,首都在线,互联网,彭杉杉,高级招聘专员,发布于11月06日
A轮,20-99人,https://www.zhipin.com/job_detail/8c5d7e6c17f1ab341XJ93ti1EVM~.html,高级Python后端工程师,20k-30k,北京 海淀区 学院路,1-3年,本科,希子,在线教育,侯煜欣,CTO,发布于10月22日
D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/ae6f88e5615d4ef31XVz3tW5E1c~.html,Python开发工程师,23k-45k,北京 海淀区 苏州街,3-5年,本科,LinkDoc,移动互联网,王晓蕊,招聘主管,发布于12月04日
不需要融资,20-99人,https://www.zhipin.com/job_detail/ad68c7e01a6412e21XV62di1E1U~.html,Python开发,15k-30k,北京 海淀区 万柳,1-3年,本科,智胜新格,游戏,高慧丽,HRBP,发布于09月17日
A轮,20-99人,https://www.zhipin.com/job_detail/5598b25b0ec023591nJ_39y9GVY~.html,Python研发工程师,15k-30k,北京 海淀区 万泉河,3-5年,本科,小叶科技,互联网,李冲,ceo,发布于08月23日
A轮,20-99人,https://www.zhipin.com/job_detail/9e533e248a64f8da1X1-2Nq1GVA~.html,AI python开发工程师,25k-50k,北京 东城区 东直门,经验不限,本科,客知音,计算机软件,Alice,招聘者,发布于11月09日
不需要融资,20-99人,https://www.zhipin.com/job_detail/c50de5bbe3c509231XR409u7ElE~.html,高级python（爬虫方向）,18k-32k,北京 朝阳区 望京,3-5年,大专,欧特欧咨询,数据服务,相福平,hrd,发布于05月11日
D轮及以上,100-499人,https://www.zhipin.com/job_detail/71c0429ad0361b961Xd40t27E1E~.html,Python,15k-25k,北京 海淀区 知春路,3-5年,本科,网梯科技发展有限公司,计算机软件,郑莉,招聘经理,发布于07月18日
未融资,20-99人,https://www.zhipin.com/job_detail/b85db61f7aef09d31XV429u5EVI~.html,python开发,15k-23k,北京 海淀区 上地,3-5年,本科,知了点点,在线教育,Yoyo,人力资源,发布于08月30日
A轮,20-99人,https://www.zhipin.com/job_detail/dc942c519b238f911HRy3dy-ElY~.html,Python高级开发,15k-30k,北京 昌平区 回龙观,1-3年,学历不限,音悦荚,移动互联网,宋先生,招聘者,发布于12月05日
D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/dfea30b4d3cc07621nx_0961GFM~.html,Python 算法工程师,18k-36k,北京 朝阳区 团结湖,1-3年,本科,闪银奇异,移动互联网,陈曦,风控系统研发总监,发布于03月27日
未融资,20-99人,https://www.zhipin.com/job_detail/e388876c456f3ca81HR82tW0FFs~.html,python 实习生,3k-4k,北京 昌平区 天通苑,经验不限,本科,阿姨多多,电子商务,刘炳林,CEO,发布于12月01日
B轮,100-499人,https://www.zhipin.com/job_detail/0739f6957ca2ff911XZ409m1FVY~.html,Python开发工程师,20k-30k,北京 朝阳区 望京,3-5年,本科,APUS,互联网,张娜,HR,发布于06月27日
A轮,0-20人,https://www.zhipin.com/job_detail/3d63becfc733ea1d1XNy2Nm4EVE~.html,Python开发工程师,20k-40k,北京 海淀区 上地,3-5年,硕士,极致控,互联网金融,李群,招聘者,发布于11月06日
已上市,100-499人,https://www.zhipin.com/job_detail/74d95c6a55a23c681HR-2dq7GFQ~.html,Python架构师,30k-50k,北京 海淀区 苏州街,5-10年,本科,北京天润融通,通信/网络设备,梁艳霞,HR,发布于11月28日
已上市,10000人以上,https://www.zhipin.com/job_detail/0da9846949a20a981Xd4292_FFU~.html,Python后端开发工程师,30k-50k,北京 海淀区 马连洼,3-5年,本科,百度,互联网,陈宇哲,招聘者,发布于07月16日
不需要融资,20-99人,https://www.zhipin.com/job_detail/77dc3e51507f35ac1Xx_3t67FVY~.html,Python开发工程师,10k-15k,北京 丰台区 花乡,3-5年,学历不限,万维星辰,信息安全,韩雪,人力资源,发布于10月25日
