carname,officialprice,carfuelc,brand,MIITfuelc,displacement,rank,gearbox,cartype,ranking,carstrength,configuration,major,ownerevaluate,price,versions1,versionsp1,versions2,versionsp2
博越,9.88-16.18万,7.80-10.80L/100km,吉利汽车,暂无信息,"['1.8T', '2.0L']",紧凑型SUV,"['手动', '手自一体']",[],该车车实力评分高于90%同级别车系查看详情,77.0,一般,良好,优秀,良好, 2018款 2.0L 手动两驱智雅型,10.18万, 2018款 1.8TD 自动四驱智尊型4G互联版,15.98万
君马MEET 3(美图3),7.19-11.89万,7.80-11.10L/100km,君马汽车,暂无信息,['1.5T'],紧凑型SUV,"['手动', '无级变速']",[],该车车实力评分高于2%同级别车系查看详情,62.6,较弱,一般,优秀,一般, 2018款 1.5T 手动豪华型,9.39万, 2018款 1.5T 手动舒适型,8.59万
东风风神AX7,8.98-13.18万,7.80-11.50L/100km,东风风神,暂无信息,"['1.4T', '1.6T', '2.0L', '2.3L']",紧凑型SUV,"['手动', '手自一体']",[],该车车实力评分高于35%同级别车系查看详情,70.8,一般,良好,一般,良好, 2019款 1.6T 自动AI领航型,12.99万, 2019款 1.6T 自动AI先锋型,11.99万
逍遥,7.69-12.79万,7.80-11.90L/100km,陆风,暂无信息,['1.5T'],紧凑型SUV,"['手动', '无级变速']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分43.3,较弱,测试中,良好,一般, 2018款 1.5GTDI 手动白银版,8.99万, 2018款 1.5GTDI 手动全景黄金版,9.69万
SWM斯威X3,5.50-8.29万,7.80-12.10L/100km,SWM斯威汽车,暂无信息,"['1.5L', '1.5T', '1.6L']",紧凑型SUV,['手动'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分45.1,较弱,测试中,良好,良好, 2017款 1.6L 手动风尚型,6.69万, 2017款 1.5T 手动酷尚型,8.29万
迈威,5.68-7.38万,7.90-8.50L/100km,力帆,暂无信息,"['1.5L', '1.8L']",紧凑型SUV,"['手动', '自动']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.5,较弱,测试中,优秀,一般, 2017款 1.8L 自动尊享型,7.38万, 2017款 1.8L 手动精英型,6.28万
众泰SR7,6.68-10.18万,7.90-9.70L/100km,众泰,暂无信息,['1.5T'],紧凑型SUV,"['手动', '无级变速']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.7,较弱,测试中,优秀,良好, 2017款 1.5T 手动魔方之路版 ,7.68万, 2017款 1.5T 手动魔方之梦版 ,9.08万
长安CX70,5.99-10.99万,7.90-10.10L/100km,长安欧尚,暂无信息,"['1.5T', '1.6L']",中型SUV,"['手动', '手自一体']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.5,较弱,测试中,优秀,良好, 2018款 1.6L 手动致尊型,7.49万, 2017款 CX70T 1.5T 自动豪擎版,9.99万
驭胜S330,8.80-13.96万,7.90-10.30L/100km,驭胜,暂无信息,['1.5T'],紧凑型SUV,"['手动', '手自一体']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.2,一般,测试中,一般,一般, 2017款 S330L 概念版,未上市, 2016款 1.5T 自动两驱舒适版,10.89万
哈弗H2s,7.00-8.50万,7.90-10.80L/100km,哈弗,暂无信息,['1.5T'],小型SUV,"['手动', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.7,较弱,测试中,优秀,一般, 2018款 蓝标 1.5T 自动豪华型,停售, 2018款 蓝标 1.5T 自动精英型,停售
Mattu,11.68-15.88万,7.90-11.10L/100km,猎豹汽车,暂无信息,['1.6T'],紧凑型SUV,"['手动', '双离合']",[],该车车实力评分高于31%同级别车系查看详情,70.2,一般,一般,优秀,一般, 2018款 1.6T DCT精英型,13.68万, 2018款 1.6T DCT旗舰型,15.88万
奥迪Q3,24.69-34.07万,7.90-11.20L/100km,奥迪,暂无信息,"['1.4T', '2.0T']",紧凑型SUV,['双离合'],[],该车车实力评分高于73%同级别车系查看详情,75.0,一般,良好,良好,一般, 2018款 30周年年型 35 TFSI 运动型,30.87万, 2018款 30周年年型 30 TFSI 风尚型,28.87万
宝沃BX5,12.38-21.98万,7.90-11.30L/100km,宝沃,暂无信息,"['1.4T', '1.8T', '2.0T']",紧凑型SUV,"['手动', '手自一体']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.6,一般,测试中,良好,一般, 2018款 25TGDI 自动四驱风尚型,19.38万, 2018款 20TGDI 自动两驱领先型,15.58万
英菲尼迪QX30,23.28-36.38万,7.90-11.60L/100km,英菲尼迪,暂无信息,"['1.6T', '2.0T']",紧凑型SUV,['双离合'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.9,一般,测试中,良好,较弱, 2018款 2.0T 四驱极限版,36.38万, 2018款 1.6T 两驱极限版,27.98万
mu-X牧游侠,17.88-28.48万,7.90-12.00L/100km,五十铃,暂无信息,"['1.9T', '2.5T', '3.0T']",中型SUV,"['手动', '手自一体']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.1,一般,测试中,优秀,一般, 2018款 3.0T 自动四驱X-POWER版 7座,28.48万, 2018款 1.9T 自动四驱劲享版 7座,23.28万
长安CS75,7.98-18.48万,7.90-13.00L/100km,长安汽车,暂无信息,"['1.5T', '1.8T', '2.0L']",紧凑型SUV,"['手动', '手自一体']",[],该车车实力评分高于81%同级别车系查看详情,75.8,一般,优秀,一般,良好, 2018款 280T 自动领智型,14.98万, 2018款 280T 自动精智型,12.48万
景逸X5,7.99-13.88万,7.90-34.50L/100km,东风风行,暂无信息,"['1.5T', '1.6L', '1.8T', '2.0L']",紧凑型SUV,"['手动', '无级变速']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.8,一般,测试中,一般,良好, 2018款 1.6L 手动创享型,8.39万, 2017款 劲享系列 1.5T 手动豪华型,9.39万
东风风度MX5,10.36-13.56万,8.00-9.20L/100km,东风风度,暂无信息,"['1.4T', '2.0L']",紧凑型SUV,"['手动', '手自一体']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.0,较弱,测试中,优秀,一般, 2016款 2.0L 自动旗舰版,13.56万, 2016款 2.0L 手动精英版,11.96万
