工作链接,公司全名,公司链接,公司简称,公司规模,融资阶段,区域,职位名称,学历要求,工作经验,薪资范围,职位福利,工作领域,工作类型,工作技能,发布时间,是否全职,具体工作,地铁线路
https://www.lagou.com/jobs/4997826.html,北京汇游科技有限公司,https://www.lagou.com/gongsi/93808.html,汇游科技,15-50人,不需要融资,朝阳区,中高级Python开发工程师,本科,3-5年,20k-30k,"五险一金,全勤奖,餐补,年终奖金","移动互联网,旅游",[],[],2018-12-05 09:37:31,全职,后端开发,5号线_北苑路北;5号线_立水桥南
https://www.lagou.com/jobs/4627493.html,北京智水互娱科技有限公司,https://www.lagou.com/gongsi/315925.html,智水互娱,15-50人,不需要融资,东城区,Python开发工程师,大专,1-3年,20k-40k,"海外,高薪",游戏,[],['Java'],2018-12-04 10:48:10,全职,数据开发,1号线_王府井;1号线_东单;1号线_建国门;2号线_建国门;2号线_北京站;2号线_崇文门;5号线_崇文门;5号线_东单;5号线_灯市口
https://www.lagou.com/jobs/5304041.html,图玛深维医疗科技（北京）有限公司,https://www.lagou.com/gongsi/152377.html,图玛深维,150-500人,B轮,朝阳区,高级python工程师,本科,5-10年,25k-35k,超长带薪年假 五险一金 地铁周边,其他,[],"['C++', '服务器端', '图像处理']",2018-12-03 11:04:46,全职,后端开发,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京
https://www.lagou.com/jobs/5021841.html,会找房（北京）网络技术有限公司,https://www.lagou.com/gongsi/46399.html,会分期,150-500人,D轮及以上,海淀区,Python开发工程师(J10100),大专,3-5年,15k-30k,"五险一金,十四薪,弹性工作",移动互联网、金融,"['电商', '房产服务']",[],2018-12-03 11:24:00,全职,后端开发,13号线_西二旗;昌平线_西二旗
https://www.lagou.com/jobs/97805.html,北京新工场投资顾问有限公司,https://www.lagou.com/gongsi/179.html,她理财,50-150人,A轮,朝阳区,高级python开发工程师,本科,1-3年,15k-30k,互联网金融 无天花板 六险一金 期权激励,"移动互联网,金融",[],[],2018-12-04 10:26:25,全职,后端开发,1号线_国贸;1号线_大望路;7号线_九龙山;10号线_国贸;14号线东段_大望路;14号线东段_九龙山
https://www.lagou.com/jobs/5106437.html,达而观信息科技（上海）有限公司,https://www.lagou.com/gongsi/97882.html,达观数据,150-500人,B轮,海淀区,Python高级开发工程师,本科,3-5年,18k-36k,"团队技术强,发展空间大,人工智能",人工智能,"['大数据', '云计算', 'C++', '后端', 'NLP']","['C++', '后端', 'NLP']",2018-11-29 10:26:20,全职,后端开发,10号线_知春里;10号线_知春路;10号线_西土城;13号线_大钟寺;13号线_知春路
https://www.lagou.com/jobs/5101499.html,北京点石经纬科技有限公司,https://www.lagou.com/gongsi/18165.html,OKAY智慧教育,150-500人,B轮,海淀区,高级python工程师,大专,5-10年,20k-30k,"机会多多,平台好,领导好","移动互联网,教育",['教育'],[],2018-11-30 15:24:13,全职,后端开发,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄
https://www.lagou.com/jobs/2384086.html,掌阅科技股份有限公司,https://www.lagou.com/gongsi/2098.html,掌阅,500-2000人,上市公司,朝阳区,Python研发工程师（中高级）,本科,3-5年,15k-25k,"管理扁平化,发展机会佳,薪资待遇好",移动互联网,[],[],2018-12-05 09:49:17,全职,后端开发,1号线_四惠东;八通线_四惠东;八通线_高碑店
https://www.lagou.com/jobs/4862128.html,北京国双科技有限公司,https://www.lagou.com/gongsi/3038.html,Gridsum 国双,500-2000人,上市公司,海淀区,资深python开发工程师,本科,3-5年,20k-30k,发挥空间 晋升空间 牛人多 团队优秀,"数据服务,企业服务",[],[],2018-12-04 18:16:16,全职,后端开发,10号线_牡丹园;15号线_北沙滩
https://www.lagou.com/jobs/2812960.html,永杨安风（北京）科技有限公司,https://www.lagou.com/gongsi/490.html,LBE 科技,50-150人,B轮,朝阳区,资深Python工程师,本科,5-10年,35k-45k,"移动互联网,绩效奖金,妹子多,国外团建",移动互联网,['移动互联网'],[],2018-12-04 10:26:41,全职,后端开发,1号线_四惠东;八通线_四惠东;八通线_高碑店
https://www.lagou.com/jobs/3865530.html,北京智分科技有限公司,https://www.lagou.com/gongsi/284128.html,NewsJet,50-150人,不需要融资,海淀区,高级Python开发工程师,本科,3-5年,25k-45k,"Geek范,清华系,福利待遇好,股票期权",移动互联网,[],['服务器端'],2018-12-05 10:43:01,全职,后端开发,10号线_知春路;10号线_西土城;13号线_大钟寺;13号线_知春路
