,标题,建筑面积,建筑类型,建筑年份,挂牌,上次交易,地区,区域,小区,单价(元/平米),总价(万),户型,楼层,总楼层,关注人数,带看,朝向,装修
129,南北向一局，通风、采光好，中粮自管楼,57.15,板楼,1996年,2018-07-13,2002-05-15,朝阳,惠新西街,小关北里,72616,415,1室1厅1厨1卫,中楼层,14,233,25,南 北,精装
130,民旺园院内三居室 南北通透 一层无遮挡 满五唯一,62.24,板楼,1985年,2018-04-17,1999-09-03,东城,和平里,民旺园,103953,647,3室1厅1厨1卫,底层,5,81,21,南 北,其他
131,满五年南向两居，楼层好，离高铁远，看房提前联系,86.15,板楼,2012年,2018-07-31,2013-08-26,大兴,高米店南,金地仰山,51074,440,2室1厅1厨1卫,中楼层,18,64,23,南,精装
132,全明格局通透性好，格局方正可利用性强,140.18,塔楼,2004年,2018-04-25,2005-06-21,朝阳,北苑,拂林园,56357,790,2室1厅1厨1卫,低楼层,30,42,25,南 西 北,精装
133,南北通透两居室，大客厅，中间楼层，,67.54,板楼,1997年,2018-08-01,2011-06-21,朝阳,芍药居,芍药居5号院,79213,535,2室1厅1厨1卫,中楼层,7,3071,28,南 北,简装
134,丰台地铁10号线 精装修 全南向大两居 满五唯一,100.68,板塔结合,2005年,2018-07-22,2006-03-29,丰台,玉泉营,三环新城7号院,56417,568,2室1厅1厨1卫,中楼层,29,64,21,南,精装
135,正规带客厅两居，南北通透，好楼层，95年板楼毛坯房,55.62,板楼,1995年,2018-06-19,2016-06-13,丰台,五里店,南五里店45号院,49983,278,2室1厅1厨1卫,中楼层,6,89,20,南 北,毛坯
136,金顶街三区满五年非唯一公房，西南向两居室。,99.48,塔楼,2003年,2017-10-29,2008-04-19,石景山,苹果园,金顶街三区,45738,455,2室1厅1厨1卫,中楼层,18,217,24,西南,简装
137,怡海花园六期 西南向 好楼层 采光好大三居 满五唯一,151.04,塔楼,2005年,2018-08-05,2007-11-28,丰台,科技园区,怡海花园恒泰园,69519,1050,3室2厅1厨2卫,高楼层,29,5,21,南 西,简装
138,溪城家园东区的两居室，有电梯，随时能看本房，空置中,81.3,板塔结合,2010年,2018-08-19,2012-11-03,昌平,立水桥,溪城家园,51538,419,2室1厅1厨1卫,低楼层,15,148,23,南,简装
139,南北通透2居室 满五年唯一 双卫 层高3米,103.64,板楼,2007年,2018-07-17,2009-02-10,丰台,玉泉营,优筑,67156,696,2室2厅1厨2卫,中楼层,17,58,20,南 北,精装
140,西潞园一里，满五唯一三居室，低楼层。,76.66,板楼,1994年,2018-06-08,2002-10-28,房山,良乡,西潞园一里,31829,244,3室1厅1厨1卫,底层,6,436,23,南 北,简装
141,万科南北通透三居室 开发商精装修 随时看房,172.84,板塔结合,2008年,2018-05-27,2010-11-19,丰台,青塔,万科紫苑,66536,1150,3室1厅1厨2卫,顶层,9,259,22,南 北,精装
142,双卧朝南    高楼层  看房随时,87.56,塔楼,2008年,2018-10-31,2009-11-28,丰台,卢沟桥,晓月新城,43399,380,2室1厅1厨1卫,高楼层,24,29,8,南,简装
143,东南可赏2.5万平花园，满五年商品房，精装拎包入住,103.45,塔楼,2000年,2018-07-27,2002-08-07,朝阳,劲松,华腾园,62833,650,2室2厅1厨1卫,高楼层,25,371,22,东南,精装
144,崇文门，广渠门，东花市，北京上舍朝南两居室,81.62,塔楼,2008年,2018-06-04,2011-07-29,东城,广渠门,北京上舍,77187,630,2室1厅1厨1卫,中楼层,15,379,19,南,精装
145,新街坊正规两居两厅  次顶层 家庭一套房,85.04,板塔结合,2004年,2018-08-09,2009-12-08,朝阳,北苑,新街坊,56209,478,2室2厅1厨1卫,高楼层,18,155,25,西北,精装
146,五环内总价比较低的一居室，满五年唯一,38.79,板楼,1998年,2018-09-25,2013-01-04,丰台,卢沟桥,晓月苑三里,51302,199,1室1厅1厨1卫,顶层,6,518,11,南,精装
147,精装修，楼层好，南北通透，税费少,108.87,板塔结合,2006年,2018-08-24,2010-07-27,朝阳,酒仙桥,晶都国际,63195,688,2室1厅1厨1卫,中楼层,20,95,26,南 北,精装
148,南三环成寿寺华芳园小区西南向两居室,80.53,塔楼,1999年,2018-11-17,2006-02-14,丰台,成寿寺,华芳园,52155,420,2室1厅1厨1卫,低楼层,24,35,3,西南,精装
149,马家堡，10年商品房，人车分流，全明格局，精装婚房,96.86,板塔结合,2010年,2018-09-05,2011-03-21,丰台,大红门,上海建筑,68966,668,3室1厅1厨1卫,顶层,15,124,26,东南,精装
150,怡海花园东南向两居室 带电梯 双阳台 看房方便,100.39,塔楼,2001年,2018-06-30,2003-01-24,丰台,科技园区,怡海花园富润园,58771,590,2室1厅1厨1卫,高楼层,18,570,27,东南,简装
151,南三环边 南北双通透大四居 地铁4+10号线双线,156.77,板楼,2005年,2018-08-07,2008-05-21,丰台,草桥,冬季星空,71443,1120,4室2厅1厨2卫,中楼层,9,122,15,南 北,简装
152,国风北京 经典南向阳光一居室 自住 保持好 满五年唯一,80.81,板楼,2005年,2018-11-01,2007-03-27,朝阳,望京,国风北京一期,86128,696,1室1厅1厨1卫,中楼层,12,32,22,南,精装
153,富东嘉园满五年商品房，业主诚售，看房随时有钥匙,66.82,板楼,2004年,2018-06-28,2005-06-30,朝阳,东坝,上东上层,48639,325,1室1厅1厨1卫,低楼层,6,54,16,西北,其他
154,精装修，楼房位置，中间楼层，看房方便,97.57,塔楼,2006年,2018-09-17,2008-09-16,丰台,玉泉营,三环新城8号院,58318,569,2室1厅1厨1卫,高楼层,22,44,23,东南 北,精装
155,新奥洋房东西南向三居室 精装修,128.7,板塔结合,2005年,2018-05-22,2013-03-21,东城,永定门,新奥洋房,70708,910,3室2厅1厨2卫,底层,11,263,10,东 南 西,精装
156,满五年唯一 南北通透双卫生间两居 采光好,92.16,板楼,2008年,2018-08-04,2010-04-15,海淀,西三旗,富力桃园A区,65105,600,2室1厅1厨2卫,高楼层,6,228,28,南 西 北,精装
157,本房满五唯一，客厅阳台，带储物间，南北通透,89.04,板塔结合,2009年,2018-08-05,2012-11-22,昌平,沙河,北街家园五区,45935,409,2室1厅1厨1卫,中楼层,18,2900,21,南 北,精装
158,莲花河畔 全天沐浴阳光 五年唯一南向两居室,104.52,塔楼,2006年,2018-09-28,2009-09-11,西城,广安门,丽水莲花,98546,1030,2室2厅1厨1卫,低楼层,28,2873,24,南,精装
159,丰体时代花园 满五唯一 东向大两居,97.24,塔楼,2005年,2018-10-17,2010-05-14,丰台,岳各庄,丰体时代花园,47306,460,2室1厅1厨1卫,中楼层,29,103,22,东,精装
160,板楼一梯两户，总高9层，中间楼层，南北通透精装三居,131.29,板楼,2008年,2018-07-07,2011-08-19,海淀,学院路,中铁翰庭,103588,1360,3室2厅1厨2卫,低楼层,18,88,24,南 西 北,精装
161,三庙街 南北通透中间楼层两居 满五唯一 随时可看房,58.3,板楼,1992年,2018-09-01,2012-03-30,西城,长椿街,三庙街,107719,628,2室1厅1厨1卫,中楼层,6,1840,25,南 北,简装
162,怡锦园 2室1厅 513万,90.54,塔楼,2003年,2018-09-18,2016-08-29,丰台,科技园区,怡锦园,56661,513,2室1厅1厨1卫,中楼层,30,28,21,西南,简装
163,三里河路 南北通透三居室 诚心出售 有钥匙随时看房,83.3,板楼,1980年,2018-10-29,2012-09-21,西城,阜成门,三里河路,91237,760,3室1厅1厨1卫,顶层,6,51,19,南 北,简装
164,旗胜家园全南两居室，采光好，客厅大,87.6,板塔结合,2009年,2018-08-09,2010-06-02,昌平,西三旗,旗胜家园,47375,415,2室1厅1厨1卫,低楼层,21,218,22,南,精装
165,芍药居北里2008年楼龄 户型方正 无遮挡 采光好,94.18,板楼,2008年,2018-08-16,2010-06-28,朝阳,芍药居,芍药居北里,77512,730,2室1厅1厨1卫,中楼层,26,115,26,南 西,简装
166,新华街三里 2007年房龄 全南向大两居 带电梯,88.22,塔楼,2007年,2018-08-09,2011-11-21,丰台,看丹桥,新华街三里,50896,449,2室1厅1厨1卫,顶层,28,42,19,南,简装
167,精装修，高楼层，视野开阔无遮挡，光线充足,74.74,塔楼,1996年,2018-10-02,2013-01-08,西城,马连道,马连道中里,89377,668,2室1厅1厨1卫,高楼层,18,326,21,南 东北,精装
168,商品房 二层 小区中间位置 距离回龙观地铁站405米,97.15,板楼,2003年,2018-09-19,2013-07-19,昌平,回龙观,龙腾苑六区,46321,450,2室1厅1厨1卫,低楼层,6,37,22,南 北,精装
169,天通苑 西三区 满五年唯一，有钥匙，随时看房,187.91,塔楼,2003年,2018-08-29,2007-02-09,昌平,天通苑,天通西苑三区,28738,540,3室2厅1厨2卫,中楼层,32,933,23,南 西 北,简装
170,原香小镇 满五唯一 南北通透两居 诚心出售随时看房,88.84,板楼,2010年,2018-10-21,2012-06-12,房山,长阳,原香小镇一区,38272,340,2室1厅1厨1卫,低楼层,10,49,20,南 北,简装
171,此房满五年唯一，好楼层，小区中间不临街，南北通透,62.1,板楼,1991年,2018-08-24,1998-07-01,海淀,田村,永定路1号院,74075,460,2室1厅1厨1卫,低楼层,6,2772,24,南 北,简装
172,万年花城二期南向两居室 带露台 首套1.5%契税 随时看,100.19,板塔结合,2007年,2018-06-16,2009-06-23,丰台,玉泉营,万年花城二期,65875,660,2室2厅1厨1卫,低楼层,9,201,26,南,精装
173,南北通透，中间楼层无遮挡，配套齐全,78.29,板楼,2004年,2018-09-22,2007-08-29,昌平,回龙观,龙博苑二区,51731,405,2室1厅1厨1卫,中楼层,6,68,59,南 北,简装
174,此房满五年，可以正常贷款，诚心出售，可签约,85.04,板楼,2013年,2018-09-16,2013-08-02,大兴,黄村北,保利茉莉公馆,58914,501,2室1厅1厨1卫,低楼层,24,14,21,南,精装
175,珠江逸景 南北两居 次顶层 随时签约,94.18,板楼,2009年,2018-09-01,2012-10-22,通州,马驹桥,珠江逸景,30686,289,2室1厅1厨1卫,高楼层,14,515,30,南 北,精装
176,南北通透 中间楼层 主打户型不临街不把边 无遮挡,82.24,板楼,2011年,2018-09-17,2013-02-19,昌平,回龙观,领秀慧谷B区,48395,398,2室2厅1厨1卫,低楼层,9,1059,37,南 北,精装
177,北三区 板楼中层两居室，西南北三面采光，看房有钥匙,99.35,板楼,2003年,2018-04-28,2013-06-07,昌平,天通苑,天通苑北三区,39457,392,2室1厅1厨2卫,中楼层,6,204,19,南 西 北,精装
178,同兴园明厅两居室，满五年，家居装修，看房方便，通透,74.14,板楼,1995年,2018-09-10,2011-03-30,大兴,西红门,同兴园,39116,290,2室1厅1厨1卫,顶层,6,1121,22,南 北,精装
179,北四环内人车分流小区 华润物业管理 大空间三居室双卫,158.42,塔楼,2000年,2018-08-23,2011-09-05,朝阳,健翔桥,华亭嘉园,66911,1060,3室2厅1厨2卫,低楼层,32,69,30,西南 北,简装
180,银谷明厨明卫边户 一梯两户 直观小区中心花园,153.01,板楼,2010年,2018-05-25,2010-11-12,朝阳,朝青,银谷美泉家园,84897,1299,3室2厅1厨2卫,中楼层,7,150,12,南 西 北,精装
181,保利嘉园一号院 2室1厅 429万,84.17,板塔结合,2010年,2018-08-03,2011-09-07,朝阳,常营,保利嘉园一号院,50969,429,2室1厅1厨1卫,中楼层,11,175,26,西南 北,精装
182,西南正规小两居，无遮挡，采光好，带地暖,81.95,塔楼,2010年,2018-07-03,2011-06-13,朝阳,望京,大西洋新城E区,95791,785,2室2厅1厨1卫,低楼层,22,87,27,西南,精装
183,满五唯一，餐厅有独立位置，可做小三居使用,86.49,板塔结合,2009年,2018-10-28,2012-09-10,房山,长阳,加州水郡三期,39196,339,2室2厅1厨1卫,低楼层,11,27,13,南 北,精装
184,庄维花园 1室2厅 435万,80.13,塔楼,2002年,2018-08-05,2012-07-11,丰台,七里庄,庄维花园,54287,435,1室2厅1厨1卫,中楼层,24,207,22,北,精装
185,三环内 7、9、10号线 低总价南向一居 中间层,41.44,板楼,1991年,2018-11-11,2013-03-22,丰台,太平桥,太平桥小区,69499,288,1室1厅1厨1卫,中楼层,6,305,15,南,简装
186,新兴年代 南北通透三居室 1180万,135.65,板塔结合,2009年,2018-08-12,2010-06-09,海淀,五棵松,新兴年代,86989,1180,3室1厅1厨2卫,低楼层,21,27,22,南 北,精装
187,龙欣苑小区 2室1厅 499万,67.34,板楼,1998年,2018-08-24,2001-06-18,朝阳,南沙滩,龙欣苑小区,74102,499,2室1厅1厨1卫,底层,6,41,13,南 北,精装
188,满五唯一公房 南北通透  全明格局  适合刚需,60.86,板楼,1993年,2018-07-07,2007-12-06,丰台,七里庄,泥洼路5号院,58824,358,2室1厅1厨1卫,顶层,6,260,21,南 北,简装
189,灯市口大街带电梯 西南向两居室 闹中取静,75.3,板塔结合,1990年,2018-08-11,1999-09-17,东城,灯市口,灯市口大街,105977,798,2室1厅1厨1卫,高楼层,12,48,24,西南,简装
190,育新花园全南小三居满五年公房靠谱出售,74.8,塔楼,1996年,2018-09-06,2000-07-05,海淀,西三旗,育新花园,77006,576,3室0厅1厨1卫,高楼层,22,42,30,南,精装
191,小区正中间位置，满五年唯一，一层带80平米花园,165.65,板楼,2005年,2018-08-30,2008-06-26,朝阳,东坝,奥林匹克花园二期,77272,1280,3室3厅1厨2卫,底层,5,24,14,南 北,精装
192,【满五0元个税】【商贷首付103万】西四环拎包入住！,48.21,塔楼,2008年,2018-10-31,2013-01-14,丰台,科技园区,设计师广场,51650,249,1室0厅1厨1卫,低楼层,26,106,23,东南 东北,精装
193,远洋一方北润园 南向两居 满五年 双卧朝阳 诚售,86.06,板塔结合,2011年,2018-08-04,2012-04-17,朝阳,双桥,远洋一方北润园,59842,515,2室1厅1厨1卫,中楼层,18,28,22,南,精装
194,东南北两居  不临街 无遮挡  满五唯一 随时看房,88.05,塔楼,2008年,2018-11-11,2011-07-22,丰台,玉泉营,万年花城四期,69279,610,2室1厅1厨1卫,中楼层,27,35,17,东 南 北,简装
195,西城区 南向 带天然气  满五唯一 随时看房,44.61,塔楼,2004年,2018-07-16,2006-07-03,西城,广安门,荣丰2008,89218,398,1室0厅1厨1卫,低楼层,20,238,38,南,简装
196,住欣家园东南小两居室 总价合适 配套齐全,70.62,塔楼,2010年,2018-07-03,2011-06-02,朝阳,常营,住欣家园,37525,265,2室1厅1厨1卫,顶层,28,590,19,东 南,精装
197,满五唯一商品房 南北通透 采光无遮挡,87.7,板楼,2005年,2018-09-28,2012-08-29,丰台,玉泉营,三环新城7号院,59864,525,2室1厅1厨1卫,低楼层,29,54,27,南 北,精装
198,商品房满五年唯一    优质二层    采光好   看房方便,106.24,板楼,1996年,2018-09-22,2000-11-24,昌平,回龙观,龙泽苑西区,46593,495,3室1厅1厨1卫,低楼层,6,132,24,南 北,简装
199,中信城 东南向 方正两居 楼层高 无遮挡,95.84,板塔结合,2009年,2018-03-30,2011-08-05,西城,陶然亭,中信锦园,149834,1436,2室2厅1厨1卫,高楼层,17,122,22,东南,简装
200,次顶层，低总价两居室，满五年业主家庭唯一住房,96.22,板楼,2007年,2018-10-31,2008-09-05,昌平,回龙观,新龙城,46768,450,2室1厅1厨1卫,高楼层,9,65,25,东 西 北,简装
201,龙博一南北向两局 商品房 商品房,77.86,板楼,2005年,2018-10-23,2016-07-14,昌平,回龙观,龙博苑一区,48806,380,2室1厅1厨1卫,低楼层,6,99,38,南 北,简装
202,满五唯一，中间层，南北通透，两居室出售,70.02,板楼,1997年,2018-09-30,2003-11-03,丰台,卢沟桥,晓月苑一里,44274,310,2室1厅1厨1卫,中楼层,6,88,28,南 北,简装
203,枫丹丽舍南北通透三居室，海淀法式洋房社区，停车免费,130.3,板楼,2001年,2018-04-29,2004-04-08,海淀,西三旗,枫丹丽舍,68228,889,3室1厅1厨2卫,中楼层,5,178,13,南 北,简装
204,远洋德邑 南向 商品房 满五年税费少,127.42,塔楼,2002年,2018-01-21,2004-06-30,东城,广渠门,远洋德邑,78403,999,3室2厅1厨1卫,中楼层,22,256,16,南,简装
205,楼层高，视野好，税费少，业主诚意出售。,103.19,塔楼,2009年,2018-07-15,2009-12-30,朝阳,望京,首开知语城,79950,825,3室1厅1厨1卫,顶层,22,223,22,西南,简装
206,满5年 商品房小区 正规两居室 随时看房,66.81,板楼,1998年,2018-08-26,2011-06-09,大兴,郁花园,郁花园二里,48646,325,2室1厅1厨1卫,顶层,6,87,13,南 北,简装
207,南北通透全明格局，采光充足 视野好无遮挡 有钥匙,219.72,板楼,2000年,2018-06-25,2010-04-27,朝阳,望京,华鼎世家一期,65356,1436,3室2厅1厨3卫,中楼层,20,123,26,南 北,精装
208,瞰都国际 东北四环边 地铁14号沿线 西南向四居,161.79,塔楼,2005年,2017-11-06,2007-06-15,朝阳,朝阳公园,瞰都国际,63045,1020,4室1厅1厨2卫,高楼层,19,424,10,西南,精装
209,精装4居，拎包入住，观景平层，赠送双露台免费3车位,187.29,暂无数据,2004年,2018-06-04,2009-09-03,海淀,西山,西山美墅馆F区,90769,1700,4室2厅1厨3卫,中楼层,4,998,5,东 南 西 北,精装
210,房本满五年是唯一，无个税，卫生间有窗户，有独立餐厅,144.67,板塔结合,2009年,2018-01-07,2011-11-07,房山,长阳,加州水郡三期,27581,399,3室2厅1厨2卫,中楼层,14,299,6,东 西 北,精装
211,三环边南北朝向 一梯两户 满五年家庭名下唯一住房,134.53,板楼,2004年,2018-05-29,2006-10-11,丰台,西罗园,珠江骏景北区,66900,900,3室1厅1厨2卫,中楼层,11,329,18,南 北,简装
212,精装修 正规两居满五无遮挡 看房方便 高层临地铁,86.94,板塔结合,2010年,2018-07-31,2012-07-16,通州,梨园,新通国际花园,48080,418,2室1厅1厨1卫,高楼层,18,56,28,东 西,精装
213,知春路大客厅两居室，中间楼层，诚意出售，随时看房，,83.1,塔楼,1997年,2018-08-13,2007-12-20,海淀,知春路,罗庄西里,74369,618,2室1厅1厨1卫,低楼层,18,108,17,东南,简装
214,南北通透一层带20多平米小院满五唯一，看房方便,115.05,板楼,2002年,2018-09-26,2005-12-31,丰台,卢沟桥,新月家园,46502,535,3室1厅1厨1卫,底层,6,13,25,南 北,简装
215,东向安静，有电梯，中高楼层，精装修，诚心出售,50.78,塔楼,2009年,2018-08-10,2011-06-20,通州,通州北苑,长城国际,48839,248,1室0厅1厨1卫,中楼层,22,141,30,东,精装
216,城子二斜井 2室1厅 183万,53.98,板楼,1985年,2018-07-09,2013-08-19,门头沟,城子,城子二斜井,33902,183,2室1厅1厨1卫,中楼层,6,184,36,南 北,其他
217,同盛里，复式，南北通透，带有露台,117.63,板楼,2003年,2018-03-14,2004-10-20,丰台,北大地,同盛里,55684,655,4室1厅1厨2卫,顶层,6,117,7,南 北,简装
218,全明格局三居室 满五年公房 带电梯,88.16,塔楼,1998年,2018-06-30,2000-07-21,丰台,马家堡,丰开苑,59994,528.9,3室1厅1厨1卫,中楼层,18,233,25,西南 西北,精装
219,满五年唯一 正规一室一厅 小区中间 无抵押 精装修,46.94,塔楼,2006年,2018-09-14,2013-11-12,丰台,玉泉营,万年花城二期,70303,330,1室1厅1厨1卫,低楼层,27,87,31,北,精装
220,经典南北通透三居户型 不临街 前后花园 满五年,144.69,板塔结合,2007年,2018-05-11,2011-03-01,朝阳,常营,北京新天地一期,50799,735,3室2厅1厨2卫,顶层,28,391,7,南 北,简装
221,2009年商品房 满五唯一  高层视野开阔无遮挡,60.62,塔楼,2009年,2018-07-22,2012-10-23,东城,广渠门,冠城名敦道,82811,502,1室1厅1厨1卫,中楼层,23,150,50,西南,精装
222,南北通透  看房随时  满五年无其他房产,54.84,板楼,1994年,2018-10-05,2009-06-30,朝阳,定福庄,定福庄西街,54705,300,2室1厅1厨1卫,高楼层,6,117,32,南 北,简装
223,碧水二期三居 低总价 临公园 无个税 无遮挡 钥匙房,113.31,塔楼,2004年,2018-07-15,2007-04-13,海淀,万柳,碧水云天,129733,1470,3室1厅1厨2卫,低楼层,16,446,22,南 东北,精装
